anio,consumo,marca
2001,,wine
2001,2.9,wine
2001,1.7,wine
2001,5,wine
2001,2.5,wine
2001,4.7,wine
2001,1.6,wine
2001,1.4,wine
2001,5,wine
2001,3.2,wine
2001,4.6,wine
2001,7,wine
2001,4.8,wine
2001,4.6,wine
2001,2.7,wine
2001,4.6,wine
2001,2.3,wine
2001,3.4,wine
2001,5.1,wine
2001,4.1,wine
2001,1.5,wine
2001,9.6,wine
2001,5.7,wine
2001,5.6,wine
2001,1.6,wine
2001,4.1,wine
2001,2.4,wine
2001,1.8,wine
2001,6.2,wine
2001,3,wine
2001,4.3,wine
2001,4.4,wine
2001,,wine
2001,5.6,wine
2001,6.6,wine
2001,5.9,wine
2001,2.5,wine
2001,1.8,wine
2001,5,wine
2001,5.6,wine
2001,3.3,wine
2001,5.2,wine
2001,2.1,wine
2001,1.1,wine
2001,4.3,wine
2001,3.3,wine
2001,5.2,wine
2001,4.4,wine
2001,,wine
2001,3,wine
2001,1.4,wine
2001,2.8,wine
2001,5.2,wine
2001,4.3,wine
2002,4.4,wine
2002,1.6,wine
2002,2.3,wine
2002,8.1,wine
2002,4.1,wine
2002,1.7,wine
2002,3.3,wine
2002,3.3,wine
2002,2.3,wine
2002,2.8,wine
2002,2.4,wine
2002,11.7,wine
2002,2.8,wine
2002,2.7,wine
2002,4.1,wine
2002,4.7,wine
2002,3.7,wine
2002,7.5,wine
2002,8.1,wine
2002,3.7,wine
2002,2.4,wine
2002,4.1,wine
2002,2.6,wine
2002,7.3,wine
2002,2.7,wine
2002,9.3,wine
2002,3,wine
2002,4.5,wine
2002,3.2,wine
2002,7.9,wine
2002,5.2,wine
2002,,wine
2002,2.7,wine
2002,1.8,wine
2002,7.1,wine
2002,2.5,wine
2002,4,wine
2002,2.9,wine
2002,2.5,wine
2002,4.8,wine
2002,3.6,wine
2002,5.3,wine
2002,8.1,wine
2002,5.2,wine
2002,5,wine
2002,3,wine
2002,4.9,wine
2002,2.3,wine
2002,3.7,wine
2002,5.7,wine
2002,5.6,wine
2002,1.6,wine
2002,10.3,wine
2002,5.7,wine
2002,7.6,wine
2002,2,wine
2002,4,wine
2002,2.8,wine
2002,1.8,wine
2002,6.3,wine
2002,3.2,wine
